blogger_id,age,is_teen,gender,job,n_posts,avg_word_len,first_person_rate,school_token_rate,birthday_token_rate,exclaim_rate,slang_emoji_rate,keyword_teen_flag,pct_active_school_hours,pct_active_evening,pct_active_late_night,weekend_weekday_session_ratio,sessions_per_day,avg_session_minutes,friend_count,account_age_days,share_short_video_views,share_news_views,night_notification_open_rate,label_teen
B1092346,16,True,female,indUnk,3,3.769864519644809,0.13699864236147205,0.0,0.0,0.0,0.0,0,0.3217,0.2989,0.2218,1.613,2.89,14.7,273,2135,0.2373,0.3179,0.2585,1
B1093691,17,True,male,Technology,3,4.042980828695114,0.02039270253555968,0.0,0.0,0.008347625106804113,0.007568027210884354,0,0.19,0.3096,0.07,1.317,2.58,9.3,443,357,0.314,0.0413,0.5004,1
B1102011,15,True,male,Student,3,3.903703703703704,0.12202982202982203,0.009331409331409331,0.0,0.003562002399389247,0.006060606060606061,1,0.3622,0.2794,0.1521,1.622,7.84,20.2,478,226,0.3,0.1186,0.248,1
B1104980,23,False,male,Sports-Recreation,3,4.121212121212121,0.018726591760299626,0.0,0.0,0.0047390720346920795,0.0,0,0.3741,0.3082,0.0803,1.05,3.16,19.5,308,865,0.714,0.5312,0.2916,0
B1107975,17,True,male,Student,3,3.956684077694716,0.06608032804841316,0.0,0.0,0.01079986365510934,0.0,0,0.2021,0.4675,0.01,1.675,7.89,12.9,283,1125,0.5622,0.1447,0.2449,1
B1111991,33,False,female,indUnk,3,4.09886602468806,0.05813921849452471,0.0,0.0,0.0014814814814814814,0.0,0,0.0189,0.2715,0.0908,1.139,3.86,2.9,119,1910,0.5618,0.0959,0.2277,0
B1113692,25,False,female,Non-Profit,3,4.088411003320641,0.02984448616978738,0.0,0.0,0.00037037037037037035,0.0,0,0.4304,0.3711,0.1801,1.403,5.48,31.0,306,2957,0.4359,0.2444,0.156,0
B1119650,23,False,female,Student,3,3.797720797720798,0.025641025641025644,0.0,0.0,0.0,0.0,0,0.3426,0.4009,0.1321,1.596,6.06,4.4,440,670,0.1559,0.2178,0.286,0
B112265,23,False,female,indUnk,3,3.9169404892296456,0.11150576331299222,0.008032128514056226,0.0,0.001965811965811966,0.0,1,0.1115,0.2025,0.1496,1.397,5.82,2.0,415,2380,0.3301,0.3297,0.2955,0
B1125373,17,True,male,Student,3,4.134930818169685,0.0895588082632617,0.0,0.0,0.0,0.0,0,0.4885,0.3196,0.1727,0.879,6.23,25.5,449,4048,0.3528,0.3124,0.0723,1
B1130595,16,True,male,indUnk,3,3.896198538439917,0.0580888770543943,0.003968253968253968,0.0,0.0007407407407407407,0.0,1,0.1078,0.4272,0.3632,1.09,4.83,26.0,505,678,0.5218,0.2596,0.3828,1
B1131329,13,True,male,indUnk,3,3.7961775878442547,0.03157644824311491,0.0,0.0,0.008053310382677243,0.0,0,0.01,0.6236,0.0764,1.388,9.94,8.0,367,423,0.2638,0.0685,0.3328,1
B1132409,41,False,female,indUnk,3,3.8616616616616617,0.13413413413413414,0.0,0.0,0.002283950617283951,0.0024691358024691358,0,0.3544,0.2809,0.1303,1.261,4.88,23.1,416,4042,0.3942,0.1954,0.1338,0
B1135804,33,False,male,indUnk,3,4.035320716070841,0.09329970383718221,0.0,0.0,0.00037037037037037035,0.0,0,0.316,0.3306,0.2079,0.452,2.01,5.1,190,3831,0.225,0.3699,0.1244,0
B1138306,17,True,female,indUnk,3,4.033599520545027,0.08229745881033514,0.0,0.0,0.0,0.0,0,0.1924,0.4646,0.0852,0.799,3.41,5.2,55,917,0.2699,0.3764,0.3049,1
B1142598,24,False,male,indUnk,3,4.343933950391751,0.03681545081800836,0.0,0.011904761904761904,0.002172682236376504,0.0196078431372549,1,0.1814,0.2531,0.2333,1.138,5.52,13.3,489,649,0.5885,0.123,0.3194,0
B1143104,23,False,male,Student,3,4.211697799916979,0.00202020202020202,0.0,0.0,0.0018901660280970626,0.006666666666666667,0,0.5111,0.2297,0.198,1.165,4.34,19.8,550,2165,0.6108,0.2883,0.1644,0
B114645,17,True,male,Student,3,3.9753747493829574,0.06228910168718651,0.0,0.0,0.009307334084307657,0.0,0,0.2253,0.3037,0.01,0.624,4.12,19.4,266,593,0.83,0.2395,0.1645,1
B1155029,17,True,female,Student,1,4.4,0.12,0.0,0.0,0.0,0.0,0,0.2396,0.3725,0.2324,0.95,6.82,50.0,770,724,0.7493,0.1482,0.3497,1
B1157658,25,False,male,indUnk,3,4.0604251355013545,0.13784439927732609,0.0,0.0,0.008291873963515755,0.0,0,0.1582,0.3134,0.2269,1.16,4.03,20.6,305,828,0.451,0.0602,0.1198,0
B1164965,16,True,male,Student,3,4.695285931724288,0.05203739943465971,0.0,0.0,0.006699086939261612,0.0,0,0.112,0.2363,0.01,1.16,12.61,28.3,362,444,0.5944,0.01,0.2443,1
B1173156,24,False,male,indUnk,3,4.192922520517457,0.03792192804851033,0.0019047619047619048,0.0,0.005584231501016741,0.004219409282700422,1,0.4784,0.2295,0.1806,1.539,2.66,9.9,485,4457,0.2932,0.4485,0.1102,0
B1180158,23,False,male,Consulting,3,3.939199524646505,0.09173897133584197,0.013344653430860326,0.0,0.0025925925925925925,0.0,1,0.2291,0.1634,0.086,1.186,1.47,22.1,136,2236,0.4807,0.01,0.0792,0
B1185193,17,True,female,Student,3,4.169694032728192,0.09481409012782704,0.009929179825820653,0.0,0.0044444444444444444,0.0,1,0.1512,0.3886,0.1557,0.997,8.5,30.6,747,1184,0.609,0.1667,0.5242,1
B1195073,15,True,female,Student,3,4.115312794495437,0.060194060390121734,0.0,0.0,0.027518771618999408,0.0,0,0.0775,0.3209,0.1102,1.467,6.92,16.3,46,483,0.6383,0.1256,0.2017,1
B1205193,15,True,female,indUnk,3,3.7240150630485758,0.10301183305222084,0.0,0.0,0.0024855060944393276,0.01391450889298809,0,0.3597,0.1581,0.1447,0.614,7.27,27.0,591,3440,0.3709,0.01,0.0459,1
B1207055,15,True,male,Arts,3,4.260109507431145,0.03341360429246437,0.0,0.0,0.0007407407407407407,0.0,0,0.0415,0.352,0.1884,1.914,3.87,26.5,664,1030,0.2557,0.0247,0.2292,1
B1231380,15,True,male,indUnk,3,3.998094248094248,0.06409626409626411,0.0,0.006410256410256411,0.006197064060206193,0.0,1,0.1902,0.3601,0.232,1.13,5.27,29.4,377,1154,0.5917,0.01,0.3446,1
B1231400,24,False,female,indUnk,3,4.133819245765296,0.06586373259462534,0.0,0.0,0.0011185682326621924,0.0,0,0.2621,0.1376,0.1476,1.122,3.37,28.6,159,3870,0.3245,0.3123,0.0942,0
B1233335,25,False,male,BusinessServices,3,4.059857944602769,0.06678103594820259,0.0,0.0,0.0,0.0,0,0.2383,0.0556,0.1779,1.815,3.79,2.0,283,1822,0.2799,0.2572,0.0498,0
B1234709,17,True,female,Student,3,4.12942612942613,0.07495590828924162,0.0,0.0,0.0044444444444444444,0.037037037037037035,0,0.445,0.3903,0.145,1.3,8.28,6.7,85,557,0.4575,0.3063,0.2591,1
B1239610,17,True,male,indUnk,3,4.0856222477096695,0.04904705265989834,0.0,0.0,0.0,0.008771929824561403,0,0.1711,0.3388,0.1792,0.953,1.22,16.9,314,2461,0.2721,0.2702,0.01,1
B1242619,15,True,female,Arts,3,3.6933551198257084,0.0664488017429194,0.0,0.0,0.019204477484405708,0.004901960784313725,0,0.2518,0.4854,0.1145,0.889,8.81,27.5,303,1225,0.5816,0.1778,0.3265,1
B1242759,16,True,female,Arts,3,4.351100985137129,0.03798527443105756,0.0,0.0,0.0024449877750611247,0.02314814814814815,0,0.0378,0.3347,0.0934,1.627,10.4,19.4,282,1338,0.5703,0.1179,0.3942,1
B1255416,17,True,male,Student,3,4.307428662521919,0.06040969233221744,0.005300494181412402,0.0,0.0015461493239271016,0.0,1,0.106,0.3013,0.1613,1.74,6.21,13.7,523,546,0.6879,0.0522,0.1707,1
B1259179,15,True,female,Student,3,4.07815167233841,0.08110318168302111,0.009746588693957114,0.0,0.0,0.0030864197530864196,1,0.4693,0.0949,0.0643,0.987,2.17,4.5,260,1975,0.2709,0.1573,0.1413,1
B1274852,27,False,female,indUnk,3,4.067499906408881,0.04426620978270133,0.0,0.0,0.003687283342455756,0.0019267822736030828,0,0.4778,0.3317,0.1721,0.708,2.36,20.6,135,728,0.3968,0.2575,0.175,0
B1278138,26,False,female,Education,3,5.161307767944936,0.022910521140609635,0.0,0.0,0.0008159934720522235,0.0,0,0.01,0.5407,0.2579,0.993,2.34,25.0,253,1196,0.8076,0.1865,0.2354,0
B1280497,26,False,male,Technology,3,4.288888888888889,0.05555555555555555,0.0,0.0,0.014034220427892668,0.0,0,0.4786,0.3993,0.1065,0.774,6.31,22.1,89,2727,0.495,0.3562,0.2166,0
B1281160,24,False,male,Technology,3,3.9512690671768826,0.0722718532264948,0.0,0.0,0.0,0.0,0,0.1403,0.2688,0.2723,1.955,10.06,26.6,152,837,0.5219,0.1583,0.1488,0
B1283465,24,False,female,indUnk,3,4.062731481481481,0.0983813700918964,0.0,0.0020833333333333333,0.0007824016847502632,0.0,1,0.1162,0.6247,0.2401,1.354,7.4,24.4,355,757,0.3468,0.1264,0.1905,0
B1289910,17,True,male,indUnk,3,4.04277503357379,0.06939432032970584,0.0018416206261510127,0.0,0.0011111111111111111,0.0020576131687242796,1,0.2117,0.5342,0.218,1.709,6.89,15.5,180,781,0.5751,0.1741,0.4345,1
B1309251,23,False,male,Technology,3,4.0445325676414,0.07927029637899771,0.0,0.0,0.0022222222222222222,0.0,0,0.3205,0.2585,0.1127,1.126,3.59,12.0,469,4010,0.2637,0.3093,0.1746,0
B1315210,23,False,male,Student,3,4.011225520971011,0.06708327826240197,0.0026041666666666665,0.0,0.0032373379181889817,0.0,1,0.4406,0.1271,0.01,0.491,4.66,17.2,262,2355,0.49,0.01,0.1856,0
B1316855,25,False,male,Arts,3,4.365552208835342,0.05504016064257028,0.0,0.0,0.005626477541371158,0.0,0,0.2473,0.3913,0.2355,1.601,3.93,32.2,593,1734,0.5655,0.2688,0.1618,0
B132894,26,False,female,indUnk,3,4.36509743077907,0.0458072651437994,0.0,0.0,0.0006802721088435375,0.0,0,0.4829,0.2209,0.0324,1.323,4.66,19.2,467,642,0.3671,0.331,0.01,0
B1330002,13,True,male,indUnk,3,4.43974358974359,0.05128205128205129,0.0,0.0,0.0,0.0,0,0.1909,0.2611,0.176,0.88,5.82,18.2,385,373,0.5646,0.0493,0.3669,1
B1334247,17,True,female,Student,3,3.9240641711229944,0.09309764309764311,0.011497326203208556,0.0,0.001851851851851852,0.0,1,0.1406,0.3075,0.1064,1.429,9.07,12.9,309,1334,0.3451,0.166,0.4294,1
B1335479,37,False,male,Religion,3,4.386512180629828,0.005050505050505051,0.0,0.0,0.0,0.0,0,0.2772,0.2492,0.1603,0.956,6.7,11.6,326,3323,0.387,0.0957,0.1851,0
B133604,23,False,female,indUnk,3,3.8330272261211484,0.09097394896698284,0.007366482504604051,0.0,0.001851851851851852,0.0018115942028985507,1,0.6195,0.3253,0.0357,1.071,2.45,11.0,399,1896,0.3978,0.2053,0.2389,0
B1360300,34,False,male,Tourism,3,3.8261714753427456,0.09985676284018825,0.0018416206261510127,0.0,0.003968253968253968,0.018518518518518517,1,0.1173,0.2653,0.0628,1.086,3.46,15.7,187,2238,0.2962,0.3297,0.1291,0
B1361398,26,False,female,indUnk,1,4.425925925925926,0.04938271604938271,0.0,0.0,0.0022222222222222222,0.0,0,0.5364,0.3165,0.1288,0.705,4.42,24.5,243,588,0.3496,0.3864,0.1942,0
B1363719,36,False,female,Education,3,4.33961545614391,0.046397173192669235,0.0,0.0,0.0014814814814814814,0.0020833333333333333,0,0.078,0.342,0.01,0.533,5.5,20.8,417,1575,0.2203,0.4445,0.1064,0
B1365227,27,False,male,indUnk,3,5.214714714714714,0.0,0.0,0.0,0.007131198995605776,0.0,0,0.3515,0.1987,0.1208,1.039,1.87,15.0,529,335,0.4494,0.2842,0.1245,0
B1365875,27,False,female,indUnk,3,3.934425612052731,0.03653483992467044,0.0,0.01103578154425612,0.0024315120542432143,0.0022222222222222222,1,0.2403,0.3653,0.0911,0.625,5.49,20.7,327,1581,0.3521,0.3683,0.1837,0
B1379288,35,False,female,HumanResources,3,4.205460489311943,0.06582984151589281,0.0,0.0,0.0037271380033253813,0.0020964360587002098,0,0.4174,0.2719,0.1009,1.311,7.56,31.4,447,3338,0.3046,0.3223,0.219,0
B1380515,40,False,male,indUnk,3,4.366524182358993,0.04483077840365274,0.0,0.0,0.0007407407407407407,0.0,0,0.3102,0.2344,0.1047,1.051,5.28,22.4,100,2970,0.4259,0.3255,0.0389,0
B1390907,37,False,female,Telecommunications,3,4.228926618157607,0.06410361281526926,0.0,0.007751937984496124,0.0008703220191470844,0.0,1,0.2029,0.2185,0.0919,0.949,5.84,19.7,550,4101,0.3774,0.3539,0.01,0
B1392379,25,False,female,indUnk,3,3.8970839751328703,0.09539135894980781,0.002178649237472767,0.0,0.00658970658970659,0.002178649237472767,1,0.4654,0.3708,0.1449,0.9,5.57,12.8,427,3945,0.4581,0.2131,0.2225,0
B1393814,13,True,female,indUnk,3,4.246031746031746,0.012499999999999999,0.0,0.0,0.001488124896196645,0.0,0,0.288,0.2734,0.1268,1.162,8.1,14.4,751,1369,0.3213,0.1216,0.2932,1
B1394735,38,False,male,Technology,3,4.228578381303952,0.041474848515981176,0.0,0.0,0.0,0.0,0,0.4075,0.3708,0.1388,1.004,7.51,13.3,192,3880,0.2298,0.2728,0.0535,0
B1396260,23,False,female,indUnk,3,3.7179049992349227,0.09424164922886151,0.002331002331002331,0.0,0.0,0.013697867917816768,1,0.2002,0.2921,0.01,0.776,5.05,27.6,255,2811,0.2379,0.4522,0.1719,0
B1404301,24,False,female,Student,3,4.126454209990325,0.0591947899503244,0.0,0.0,0.0069044690446904465,0.0,0,0.3401,0.2094,0.0168,1.246,4.05,12.2,165,2283,0.4313,0.3016,0.091,0
B1405870,26,False,female,indUnk,3,3.9113346104725415,0.08155902207626346,0.0,0.0,0.002178649237472767,0.0,0,0.4462,0.4131,0.1237,1.23,5.64,8.2,211,3556,0.1302,0.1846,0.2673,0
B1407268,23,False,male,indUnk,3,4.09909842542909,0.0746468969540953,0.0,0.0,0.002962962962962963,0.0,0,0.3017,0.3039,0.1074,1.39,3.88,19.8,186,359,0.383,0.2804,0.0825,0
B1410011,16,True,female,indUnk,3,4.1380030601269695,0.06351795200665562,0.0019157088122605363,0.0,0.0007407407407407407,0.0,1,0.1716,0.3872,0.01,1.037,6.17,17.1,73,142,0.4936,0.256,0.2874,1
B1415200,15,True,female,Student,3,3.8582875229052136,0.12128935532233882,0.0036231884057971015,0.0,0.0,0.0,1,0.01,0.1907,0.0943,1.355,8.46,28.7,296,258,0.683,0.2327,0.3021,1
B1425932,25,False,male,Publishing,3,4.580775403380122,0.01069754618141715,0.0,0.0,0.0038246018038764155,0.0,0,0.3174,0.3967,0.266,0.315,1.76,7.5,297,2972,0.2844,0.0991,0.0613,0
B1432406,16,True,female,indUnk,3,4.266598877716266,0.05594471434489512,0.0019960079840319364,0.0,0.0018803418803418806,0.0,1,0.3131,0.1208,0.01,1.015,2.6,16.3,84,3730,0.2133,0.2978,0.183,1
B1432868,16,True,male,Student,3,4.212865497076023,0.030409356725146195,0.0,0.0,0.006215621562156215,0.009356725146198829,0,0.2733,0.4961,0.0949,1.239,7.68,30.1,678,1247,0.7651,0.2307,0.2492,1
B1435600,16,True,male,Student,3,4.123232751260892,0.01092896174863388,0.0,0.0,0.0,0.0,0,0.0522,0.6895,0.0737,0.887,5.63,28.2,99,200,0.4159,0.0793,0.1945,1
B1438661,16,True,female,indUnk,3,3.978074721664465,0.07933179728051523,0.0,0.0019723865877712033,0.002709228565582157,0.015348682015348681,1,0.1827,0.4141,0.1193,0.422,3.49,5.9,389,872,0.3287,0.2592,0.2747,1
B1440291,23,False,female,Accounting,3,3.9204426644546406,0.06632838219664568,0.00398013496815892,0.0,0.00037037037037037035,0.021884801824921585,1,0.2007,0.5085,0.1252,1.546,8.16,18.5,649,1370,0.3305,0.1478,0.3192,0
B1450156,37,False,female,indUnk,3,3.7653436539306107,0.10032389108476064,0.0,0.0,0.0,0.0,0,0.4424,0.457,0.0815,1.555,3.54,25.4,485,2871,0.2623,0.0631,0.1346,0
B1450587,15,True,female,Arts,3,4.2972790604369555,0.03984753984753985,0.0,0.0,0.0030303030303030303,0.0,0,0.1923,0.331,0.1,1.621,6.71,41.4,272,244,0.6799,0.1488,0.3755,1
B1452076,15,True,female,Student,3,4.525844554689345,0.06144578313253012,0.005929600755965036,0.0,0.0040609636184857426,0.0,1,0.2961,0.488,0.1969,1.888,10.28,20.3,118,1294,0.4202,0.1421,0.208,1
B1455561,17,True,male,Student,3,4.128235425336874,0.020879371120917017,0.0,0.0,0.004564142596929483,0.0,0,0.01,0.1625,0.1677,1.371,7.4,10.7,709,1231,0.8406,0.2142,0.3004,1
B1461773,25,False,male,Engineering,3,4.184092366151442,0.04524013421122825,0.0,0.0,0.005612509341626287,0.010869565217391304,0,0.4314,0.0275,0.0338,0.703,2.67,17.4,358,1722,0.01,0.3537,0.2178,0
B1461990,17,True,female,indUnk,3,4.120885069636827,0.05113221999649566,0.0,0.0,0.010153256704980842,0.003787878787878788,0,0.01,0.4259,0.031,1.632,5.18,28.0,576,435,0.8138,0.1217,0.3251,1
B1472662,23,False,male,Internet,3,4.982046070460704,0.0,0.0,0.0,0.0028735632183908046,0.0,0,0.3724,0.1389,0.1384,1.34,5.19,4.3,282,679,0.4239,0.0546,0.0533,0
B1477618,33,False,female,indUnk,3,4.220885185388227,0.06230469820733512,0.0,0.0,0.007159278891589801,0.0,0,0.3722,0.312,0.2976,0.986,3.0,20.4,234,219,0.2463,0.1561,0.3579,0
B1478602,23,False,male,Communications-Media,3,4.9814828029113745,0.0,0.0,0.0,0.0008263667223995542,0.0,0,0.2945,0.3985,0.01,1.156,8.43,20.7,440,2434,0.249,0.2308,0.1271,0
B1478632,17,True,male,Student,3,3.7515782828282824,0.08501683501683503,0.013888888888888888,0.0,0.0032738435892243436,0.0023148148148148147,1,0.1411,0.4798,0.0753,1.815,9.79,33.6,451,1164,0.6527,0.1764,0.0874,1
B1491593,27,False,male,indUnk,3,4.0727048970719855,0.05010548523206751,0.0,0.004219409282700422,0.0014814814814814814,0.0,1,0.3847,0.4214,0.174,0.3,3.97,15.7,185,1665,0.3332,0.4299,0.0522,0
B1492818,47,False,female,Arts,3,4.712263123190276,0.03672295327924467,0.0,0.0,0.004074074074074075,0.0,0,0.2667,0.3312,0.01,1.609,5.81,15.5,406,4216,0.1226,0.4219,0.1208,0
B1493787,27,False,male,indUnk,3,4.146187363834422,0.04357298474945534,0.0,0.0,0.018222387377316955,0.009368191721132898,0,0.4465,0.3996,0.1345,1.204,3.76,34.8,399,3896,0.4965,0.4441,0.0733,0
B1499735,24,False,female,indUnk,3,4.164848873681209,0.046638865126889084,0.0,0.0,0.00037037037037037035,0.0,0,0.3031,0.2398,0.1113,1.47,4.96,9.7,118,1990,0.449,0.3586,0.2171,0
B1507424,35,False,male,Arts,3,3.991006357006452,0.09956214891172561,0.0,0.0,0.0,0.0,0,0.3627,0.3024,0.149,0.3,2.11,26.0,554,1932,0.3705,0.1131,0.2795,0
B1510754,24,False,male,Internet,3,4.274837611063046,0.0624008386089711,0.0,0.0,0.002962962962962963,0.0,0,0.3746,0.249,0.1161,1.203,4.39,13.8,544,1961,0.304,0.556,0.1582,0
B1512689,23,False,female,indUnk,3,4.423561587812795,0.05362574444700049,0.0102880658436214,0.0,0.00037037037037037035,0.0,1,0.237,0.2602,0.1735,1.062,2.03,6.1,331,1016,0.0725,0.2931,0.2513,0
B152151,23,False,female,Engineering,3,3.94784227459607,0.09618391102066264,0.00228310502283105,0.0,0.01115373622956027,0.00667697936088744,1,0.6266,0.0848,0.0925,1.562,5.5,21.5,133,3979,0.3662,0.3733,0.0771,0
B1532204,23,False,male,Accounting,3,4.10531952115987,0.02763736873452953,0.0,0.0,0.005925925925925926,0.008012091030353266,0,0.2434,0.2725,0.1062,0.728,3.89,8.2,163,3533,0.159,0.3654,0.0437,0
B1533422,14,True,female,Student,3,3.970694048123828,0.05952563764644764,0.0018832391713747645,0.0019157088122605363,0.003703703703703704,0.0,1,0.0915,0.4883,0.01,1.335,11.59,25.3,317,195,0.6077,0.2206,0.0403,1
B1550368,36,False,female,indUnk,3,4.203754789272031,0.052899106002554284,0.0,0.0,0.000835421888053467,0.0,0,0.2168,0.1119,0.0379,0.3,4.13,15.5,314,3574,0.471,0.4238,0.1347,0
B1558100,23,False,male,Student,3,4.398106802306278,0.04043938952075435,0.0,0.0,0.0045193748661956756,0.0,0,0.4673,0.1677,0.2915,0.762,6.1,3.5,468,4477,0.5323,0.2487,0.2256,0
B1563867,27,False,male,indUnk,3,4.350497033830368,0.031847910320132546,0.0,0.0,0.0044444444444444444,0.0,0,0.0972,0.2425,0.1729,1.169,1.47,11.2,386,4274,0.2688,0.1149,0.0934,0
B1568659,33,False,male,Internet,3,4.298817748586967,0.04681252824072147,0.004077510100254377,0.0,0.003703703703703704,0.0,1,0.294,0.3066,0.0631,0.706,2.72,11.9,221,4342,0.3427,0.3676,0.01,0
B1571041,26,False,male,Student,3,3.8996297731284173,0.0457617633131,0.0,0.0,0.0014814814814814814,0.0,0,0.1608,0.0963,0.0417,1.359,0.5,19.8,145,983,0.2986,0.346,0.0867,0
B1571308,34,False,male,Communications-Media,3,4.159830007390983,0.06577974870657798,0.0,0.0,0.007407407407407408,0.0,0,0.2849,0.2072,0.0113,0.627,4.25,11.2,102,4424,0.3834,0.3185,0.1715,0
B1572460,24,False,male,Student,3,4.643643065196067,0.01714326362213686,0.0,0.002347417840375587,0.0,0.00404040404040404,1,0.3048,0.2525,0.1115,1.825,8.02,26.0,200,1271,0.4586,0.1659,0.2497,0
B1583261,16,True,female,Arts,3,3.619137737062038,0.0627611700417872,0.00273224043715847,0.0,0.004330887016399384,0.0,1,0.3777,0.2704,0.2004,1.084,8.19,24.5,369,1099,0.7081,0.1573,0.4158,1
B1585532,16,True,male,Student,3,4.2075368093067205,0.06544586190603889,0.0,0.0,0.0026030510062708726,0.005050505050505051,0,0.01,0.3404,0.1007,1.344,7.48,34.8,120,1023,0.6758,0.1407,0.2555,1
B1588678,13,True,male,Student,3,4.1978807417403905,0.03837406907582346,0.0,0.0030864197530864196,0.0028852058282815203,0.0,1,0.1515,0.2432,0.1133,1.401,4.24,11.4,577,4114,0.4982,0.3444,0.1153,1
B1593902,15,True,male,Student,3,4.006953126713605,0.0741853482162338,0.0,0.001949317738791423,0.001851851851851852,0.0,1,0.2499,0.3822,0.3491,0.965,6.55,42.0,93,1381,0.4086,0.1602,0.2802,1
B1596060,27,False,male,Internet,3,4.575744079330577,0.02244668911335578,0.0,0.0,0.002505547021676054,0.0,0,0.3347,0.3986,0.0749,0.565,6.58,19.9,562,3743,0.2807,0.0999,0.0577,0
B1598918,27,False,male,Education,3,4.6800731573909475,0.041666666666666664,0.002347417840375587,0.0,0.007246376811594203,0.0,1,0.2568,0.4223,0.048,1.312,3.53,4.4,326,3907,0.2455,0.1301,0.1869,0
B1602641,16,True,male,Student,3,4.1140798996213395,0.028070922303630508,0.0,0.0,0.0050968399592252805,0.0,0,0.1814,0.1547,0.1391,0.352,5.07,32.2,95,2055,0.3564,0.403,0.1352,1
B1605135,14,True,male,Student,3,4.155165858758672,0.04172607166619143,0.007984031936127746,0.0,0.001523772907855953,0.0,1,0.1238,0.4391,0.0793,1.165,8.26,10.6,141,138,0.2964,0.0804,0.5108,1
B1605613,23,False,female,Student,3,4.7021818578519605,0.010582010582010581,0.0,0.0,0.0,0.0,0,0.316,0.3086,0.092,1.041,4.17,5.5,263,2046,0.448,0.1158,0.1329,0
B1608709,25,False,male,Accounting,3,4.634182389937107,0.0043055555555555555,0.0,0.0,0.0007407407407407407,0.0022222222222222222,0,0.3745,0.1331,0.19,0.818,3.45,19.5,143,1426,0.445,0.1871,0.0943,0
