blogger_id,age,is_teen,pct_active_school_hours,pct_active_evening,pct_active_late_night,weekend_weekday_session_ratio,sessions_per_day,avg_session_minutes,friend_count,account_age_days,share_short_video_views,share_news_views,night_notification_open_rate,source
B1672765,15,True,0.0262,0.4803,0.1054,0.973,5.47,34.7,502,1302,0.4992,0.1957,0.1407,synthetic_calibrated_demo
B1674780,27,False,0.2026,0.3972,0.091,0.3,6.98,2.0,301,1912,0.4635,0.2419,0.018,synthetic_calibrated_demo
B1677188,27,False,0.2794,0.233,0.0682,0.745,6.33,22.9,241,1034,0.2635,0.1764,0.2664,synthetic_calibrated_demo
B1677923,15,True,0.0774,0.4038,0.047,1.383,3.85,2.2,452,222,0.2315,0.0723,0.1709,synthetic_calibrated_demo
B1683973,27,False,0.116,0.2186,0.103,0.743,6.42,7.4,169,2949,0.238,0.2997,0.0924,synthetic_calibrated_demo
B1684227,45,False,0.1281,0.4181,0.1685,1.629,6.23,20.9,363,58,0.7915,0.0194,0.3724,synthetic_calibrated_demo
B1694057,25,False,0.3761,0.2602,0.1191,0.974,3.03,14.7,388,2347,0.2126,0.1832,0.0276,synthetic_calibrated_demo
B1697193,23,False,0.2944,0.388,0.1284,1.023,3.54,34.7,448,248,0.2268,0.3321,0.1727,synthetic_calibrated_demo
B1703547,24,False,0.5059,0.3879,0.0219,1.583,5.92,16.9,442,4257,0.3423,0.2766,0.0906,synthetic_calibrated_demo
B1710618,45,False,0.382,0.2764,0.0201,0.608,5.73,2.0,521,1791,0.2531,0.437,0.1056,synthetic_calibrated_demo
B1722161,23,False,0.3109,0.4295,0.0435,1.138,6.45,22.3,199,3242,0.2131,0.1145,0.0605,synthetic_calibrated_demo
B172224,38,False,0.3741,0.2342,0.1993,1.907,5.33,21.7,546,4219,0.0666,0.2077,0.0516,synthetic_calibrated_demo
B1734814,23,False,0.3052,0.2295,0.1765,1.04,5.66,15.4,173,235,0.123,0.0427,0.1265,synthetic_calibrated_demo
B1751597,34,False,0.0561,0.218,0.1444,1.166,2.29,18.3,369,4459,0.4288,0.2686,0.1079,synthetic_calibrated_demo
B1753983,25,False,0.3273,0.4209,0.1082,1.285,6.34,10.6,308,478,0.5361,0.3108,0.01,synthetic_calibrated_demo
B1774842,15,True,0.3226,0.2986,0.0946,1.424,7.74,29.0,541,635,0.5518,0.184,0.2489,synthetic_calibrated_demo
B1781897,27,False,0.4105,0.3984,0.042,1.07,4.54,18.5,465,1622,0.2467,0.3307,0.2462,synthetic_calibrated_demo
B1787248,16,True,0.0713,0.35,0.1541,1.646,7.57,36.6,280,379,0.4669,0.3834,0.3273,synthetic_calibrated_demo
B1791808,26,False,0.3234,0.2843,0.0899,1.269,2.91,8.4,175,4032,0.4041,0.3199,0.0771,synthetic_calibrated_demo
B1796141,15,True,0.4842,0.321,0.1624,1.424,10.23,3.3,401,4266,0.2337,0.1779,0.053,synthetic_calibrated_demo
B1796438,15,True,0.2232,0.4622,0.2746,1.219,11.89,26.3,378,144,0.3596,0.01,0.2821,synthetic_calibrated_demo
B1796990,17,True,0.231,0.3012,0.0728,1.363,7.22,5.4,569,376,0.5223,0.1206,0.1824,synthetic_calibrated_demo
B1798668,23,False,0.435,0.2682,0.0784,1.181,5.82,13.5,594,3160,0.4571,0.435,0.31,synthetic_calibrated_demo
B1798777,17,True,0.2025,0.2528,0.1829,1.081,7.01,16.1,438,1218,0.5575,0.1536,0.3495,synthetic_calibrated_demo
B1799065,17,True,0.01,0.6476,0.0917,0.985,6.71,23.1,103,290,0.4712,0.2506,0.1833,synthetic_calibrated_demo
B1804510,24,False,0.0351,0.3405,0.1876,1.758,4.31,23.2,200,667,0.139,0.233,0.1381,synthetic_calibrated_demo
B1813248,16,True,0.01,0.2822,0.1914,1.282,7.95,31.9,248,255,0.4857,0.01,0.2253,synthetic_calibrated_demo
B1820166,15,True,0.3736,0.01,0.0415,1.616,3.51,2.0,503,2637,0.3219,0.4126,0.1749,synthetic_calibrated_demo
B182037,23,False,0.4362,0.1139,0.1266,1.392,7.01,13.6,29,3273,0.4499,0.5887,0.0825,synthetic_calibrated_demo
B1823506,17,True,0.01,0.3701,0.2081,1.177,11.44,24.1,715,1384,0.5618,0.2144,0.3135,synthetic_calibrated_demo
B1826925,26,False,0.2166,0.4033,0.2715,0.969,5.44,27.1,425,1416,0.3216,0.01,0.1965,synthetic_calibrated_demo
B1828980,24,False,0.2909,0.1216,0.0666,1.04,3.62,17.7,126,4443,0.4368,0.4059,0.226,synthetic_calibrated_demo
B1835053,23,False,0.2138,0.2162,0.1486,1.108,10.4,31.5,505,840,0.6195,0.1366,0.3037,synthetic_calibrated_demo
B1837230,24,False,0.3874,0.4344,0.161,0.751,3.9,20.8,553,2222,0.5272,0.4143,0.1151,synthetic_calibrated_demo
B1842721,24,False,0.2649,0.4545,0.1057,0.318,5.61,11.4,511,2864,0.3079,0.2472,0.2211,synthetic_calibrated_demo
B1857502,35,False,0.1293,0.3662,0.1693,1.037,0.68,22.6,28,958,0.3632,0.1735,0.0456,synthetic_calibrated_demo
B1857661,17,True,0.0994,0.6007,0.1342,1.106,4.72,7.5,119,392,0.4633,0.01,0.2157,synthetic_calibrated_demo
B1859920,26,False,0.4288,0.4444,0.1088,0.86,5.83,2.0,45,3271,0.2807,0.466,0.1108,synthetic_calibrated_demo
B1860767,15,True,0.2181,0.6335,0.0251,1.71,4.36,25.0,675,1084,0.3667,0.0515,0.3132,synthetic_calibrated_demo
B1861336,26,False,0.2451,0.3483,0.155,1.831,3.85,13.3,469,4280,0.4347,0.2158,0.1137,synthetic_calibrated_demo
B1861417,36,False,0.4419,0.2864,0.01,0.475,2.08,6.5,232,707,0.1536,0.1957,0.0803,synthetic_calibrated_demo
B1863629,17,True,0.2066,0.3328,0.196,1.554,4.62,24.4,449,873,0.5539,0.2086,0.2464,synthetic_calibrated_demo
B1866977,26,False,0.3716,0.3759,0.1138,1.304,7.36,17.0,51,4366,0.2218,0.3719,0.0814,synthetic_calibrated_demo
B1872244,25,False,0.3104,0.4232,0.1307,1.125,6.62,20.9,494,2802,0.4487,0.4626,0.1823,synthetic_calibrated_demo
B1874629,15,True,0.3574,0.3165,0.1755,0.874,4.62,28.5,237,2480,0.0804,0.2542,0.3104,synthetic_calibrated_demo
B1886523,26,False,0.297,0.1943,0.2042,0.887,6.9,21.3,516,3468,0.3404,0.259,0.2441,synthetic_calibrated_demo
B1894533,24,False,0.3305,0.3405,0.0746,1.286,4.51,13.1,83,700,0.6029,0.0718,0.195,synthetic_calibrated_demo
B1897606,15,True,0.2642,0.3367,0.01,1.644,10.24,38.9,734,1264,0.5274,0.2595,0.4819,synthetic_calibrated_demo
B1906838,24,False,0.1735,0.4065,0.2394,1.242,7.55,18.5,337,2857,0.3734,0.1821,0.0633,synthetic_calibrated_demo
B1921298,26,False,0.3484,0.3659,0.094,1.348,4.77,28.3,555,3606,0.4074,0.18,0.3443,synthetic_calibrated_demo
B1922130,27,False,0.4488,0.3237,0.01,1.361,3.51,28.3,421,1820,0.3487,0.4215,0.0692,synthetic_calibrated_demo
B1929559,16,True,0.01,0.4915,0.1519,1.213,2.34,17.2,212,708,0.6689,0.0706,0.4789,synthetic_calibrated_demo
B1934543,17,True,0.1704,0.4497,0.2719,1.863,4.84,23.6,409,722,0.3622,0.135,0.2806,synthetic_calibrated_demo
B1957684,23,False,0.4314,0.3313,0.1195,1.024,2.66,9.3,37,2139,0.2981,0.4768,0.1038,synthetic_calibrated_demo
B1961121,13,True,0.1682,0.5605,0.0427,1.343,5.39,26.7,361,785,0.4912,0.1805,0.159,synthetic_calibrated_demo
B1961258,26,False,0.3689,0.3187,0.1063,1.044,3.29,22.5,44,1543,0.255,0.3382,0.1284,synthetic_calibrated_demo
B1964818,17,True,0.3181,0.3844,0.0635,1.349,3.22,5.1,470,888,0.0741,0.2512,0.2658,synthetic_calibrated_demo
B1967651,14,True,0.1822,0.5691,0.2296,1.523,7.15,27.9,610,1287,0.6572,0.0399,0.3802,synthetic_calibrated_demo
B1979283,27,False,0.01,0.3748,0.0695,1.035,6.01,16.4,371,1634,0.3002,0.2881,0.1603,synthetic_calibrated_demo
B1982416,42,False,0.4427,0.1783,0.1087,0.874,3.86,9.8,285,1771,0.5778,0.1283,0.0447,synthetic_calibrated_demo
B1986106,24,False,0.3381,0.238,0.0794,1.787,7.38,10.2,284,2705,0.2036,0.0668,0.2418,synthetic_calibrated_demo
B1992375,16,True,0.4649,0.3153,0.0339,0.564,4.83,25.6,171,1989,0.4094,0.3198,0.2175,synthetic_calibrated_demo
B2001656,27,False,0.4401,0.2233,0.1405,0.504,8.11,23.6,339,2114,0.4555,0.3492,0.128,synthetic_calibrated_demo
B2004217,17,True,0.2821,0.3281,0.0258,1.501,3.28,21.0,534,1092,0.3739,0.2913,0.151,synthetic_calibrated_demo
B202334,17,True,0.2079,0.3607,0.0841,1.735,8.42,29.6,559,742,0.6117,0.0821,0.2488,synthetic_calibrated_demo
B2028249,26,False,0.3316,0.4314,0.01,1.133,1.85,11.9,93,1279,0.2611,0.2159,0.1506,synthetic_calibrated_demo
B2032275,13,True,0.3641,0.1985,0.2163,1.587,4.33,24.1,187,217,0.8147,0.3132,0.0803,synthetic_calibrated_demo
