incident_info,description,start_dt,quadrant,longitude,latitude,incident_count
 8 Street and 6 Avenue SW ,Traffic incident. Blocking the SB Lanes,2025-12-29 13:06:36,SW,-114.08113350048448,51.04797302855994,1
 Westbound Southland Drive at Macleod Trail SW ,Two vehicle incident. Blocking the right lane,2025-12-29 06:00:53,NW,-114.07162897202468,50.96497332240563,1
 Southbound Macleod Trail at Southland Drive SE ,Multi-vehicle incident. Blocking the centre lane,2025-12-29 05:26:35,SE,-114.07176030270224,50.96557511279574,1
 Southbound Macleod Trail at Southland Drive SE ,Multi-vehicle incident.,2025-12-29 05:26:35,SE,-114.07180261858409,50.965781763614594,1
 Falconridge Boulevard and Taradale Drive NE ,Traffic incident.,2025-12-29 01:39:57,NE,-113.94686251638244,51.11419503153176,1
 42 Avenue and Highfield Road SE ,Traffic incident.,2025-12-29 01:11:49,SE,-114.0432075081349,51.01602302954768,1
 Eastbound 16 Avenue and 36 Street NE ,Traffic incident. Blocking the right lane,2025-12-28 22:57:46,NE,-113.98696316338608,51.06669295247648,1
 Northbound 36 Street and 16 Avenue NE ,Two vehicle incident.  Blocking the left lane,2025-12-28 21:48:16,NE,-113.98923443757648,51.06708900019579,1
 Westbound Memorial Drive and 36 Street SE ,Two vehicle incident. Blocking the right lane,2025-12-28 21:42:06,NW,-113.98189943608288,51.05193297019648,1
 5 Avenue and Centre Street S ,Traffic incident.,2025-12-28 21:04:31,NW,-114.06281401658735,51.04839603878479,1
 Quarry Park Road and 18 Street SE ,Traffic incident.,2025-12-28 20:55:58,SE,-114.01266153792363,50.96350803463434,1
 Heritage Drive and 14 Street SW ,Two vehicle incident. Blocking the NB left lane,2025-12-28 19:40:37,SW,-114.09472953211508,50.98221647863757,1
 Glenmore Trail at Deerfoot Trail SE ,Traffic incident. Blocking the WB left lane,2025-12-28 19:31:40,SE,-114.03468878041257,50.99311384510946,1
 Memorial Drive at Deerfoot Trail SE ,Traffic incident.,2025-12-28 19:02:18,SE,-114.019798435153,51.0487470064063,1
 Stonehill Drive north of Stonehill Pl NE ,Traffic incident.,2025-12-28 17:21:15,NE,-114.00599458436214,51.15853921375243,1
 Southbound Stoney Trail and 16 Avenue NE ,Multi-vehicle incident. Blocking the right lane,2025-12-28 17:18:36,NE,-113.92180696819663,51.07952943861798,1
 Deerfoot Trail and Memorial Drive SE ,Traffic incident.,2025-12-28 16:36:44,SE,-114.01846830861513,51.05181029318968,1
 Stoney Trail and Deerfoot Trail SE ,Traffic incident. Blocking the right lane of EB to NB ramp,2025-12-28 16:19:36,SE,-113.974780505196,50.90246965532331,1
 Crowchild Trail and Glenmore Trail SW ,Traffic incident. Blocking the right lane of SB to EB ramp,2025-12-28 14:16:50,SW,-114.11706744142732,50.99960645638207,1
 Southbound Deerfoot Trail approaching Peigan Trail SE ,Multi-vehicle incident. Blocking the middle lane,2025-12-28 12:44:12,SE,-114.00172823864014,51.02213703836031,1
 Eastbound Mcknight Boulevard at Falconridge Boulevard NE ,Traffic incident. Blocking the right turn lane,2025-12-28 12:12:47,NE,-113.95945481454588,51.09591155022772,1
 Mcknight Boulevard at Falconridge Boulevard NE ,Traffic incident. Road closed between 68 St and 47 St NE and between Temple Dr and Falsbridge Gate NE,2025-12-28 12:12:47,NE,-113.96092949731351,51.096158998122576,1
 Eastbound 17 Avenue SE at 60 Street SE ,Traffic incident.  Blocking the left lane,2025-12-28 10:05:40,SE,-113.9475147441458,51.03778173564803,1
 Southbound Deerfoot Trail approaching Airport Trail NE ,Traffic incident. Blocking the right lane,2025-12-28 08:08:03,NE,-114.0416444190098,51.14214819254492,1
 32 Avenue and Barlow Trail NE ,Two vehicle incident. Blocking the left lane,2025-12-28 08:01:46,NE,-114.00152835074074,51.0812925639389,1
 Southbound Deerfoot Trail and 24 Street SE ,Traffic incident.,2025-12-28 07:57:12,SE,-114.00758304984288,50.94934340571753,1
 10 Avenue and 7 Street SW ,There is an incident involving a cyclist- EMS on site.,2025-12-28 07:07:46,SW,-114.0789554657853,51.04377901142536,1
 Northbound Crowchild Trail at memorial Drive NW ,Two vehicle incident. Blocking the right lane,2025-12-28 06:47:19,NW,-114.1155756496008,51.04855966314785,1
 Springbank Boulevard and 69 Street SW ,Traffic incident.,2025-12-28 06:21:18,SW,-114.19195505425525,51.01776903352163,1
 Northbound Barlow Trail  and 16 Avenue NE ,Two vehicle incident. Blocking the right lane,2025-12-28 05:55:17,NE,-114.0014737962951,51.07117008950436,1
 Eastbound Glenmore Trail and Crowchild Trail SW ,Traffic incident. Blocking the right lane,2025-12-28 05:48:07,SW,-114.11566287566242,50.99955957997036,1
 Westbound Glenmore Trail after 14 Street SW ,Two vehicle incident. Blocking the left lane,2025-12-28 05:38:56,SW,-114.10160849287034,50.9963940307993,1
 Westbound Bow Trail and 14 Street SW ,Stalled vehicle. Blocking the right lane,2025-12-28 05:03:07,SW,-114.1017378523816,51.04752153745175,1
 52 Street and Memorial Drive NE ,Traffic incident.,2025-12-28 02:07:32,NE,-113.95583097546996,51.0532649553116,1
 Northbound Shaganappi Trail and Sage Hill Boulevard NW ,Two vehicle incident. Blocking the right lane,2025-12-28 01:39:52,NW,-114.15312001843895,51.17043598837164,1
 Barlow Trail and Peigan Trail SE ,Two vehicle incident. Blocking multiple lanes,2025-12-28 00:32:01,NW,-114.00344100241507,51.014969992945154,1
 Westbound 16 Avenue approaching 36 Street ME ,Traffic incident. Blocking the right lane,2025-12-28 00:26:15,NW,-113.98166547998171,51.03940502258927,1
 Edmonton Trail and 2 Avenue NE ,Traffic incident.,2025-12-28 00:12:23,NE,-114.05100606108316,51.05468704329755,1
 68 Avenue and 52 Street SE ,Traffic incident. Blocking the right lane,2025-12-27 21:45:41,SE,-113.95912947594248,50.994116996476976,1
 Acadia Drive and Southland Drive SE ,Traffic incident.,2025-12-27 19:16:00,SE,-114.04844103287468,50.96399401803812,1
 20 Avenue and 4 Street NW ,Traffic incident.,2025-12-27 19:06:15,NW,-114.07155297981336,51.070562972504014,1
 Memorial Drive and Edmonton Trail NE ,Multi-vehicle incident. Blocking multiple lanes,2025-12-27 18:36:15,NE,-114.05034893389954,51.05061003971936,1
 7 Avenue and Centre Street S ,Traffic incident. Centre St is closed,2025-12-27 18:15:18,SW,-114.06293552035685,51.04649698273624,1
 20 Avenue and 36 Street NE ,Traffic incident.,2025-12-27 18:05:31,NE,-113.9822820471679,51.07152600632215,1
 Airport Trail and Deerfoot Trail NE ,Traffic incident.,2025-12-27 17:53:12,NE,-114.03839255444493,51.141590962042194,1
 Crowchild Trail and Crowfoot Parade NW ,Traffic signals are blank. Crew has been dispatched,2025-12-27 14:46:32,NW,-114.20894700115494,51.12382497778511,1
 Southbound Deerfoot Trail approaching 17 Avenue SE ,Traffic incident. Blocking the left lane,2025-12-27 14:44:06,SE,-114.00846009426412,51.042378702041226,1
 Deerfoot Trail and Memorial Drive SE ,Traffic incident.,2025-12-27 14:14:01,SE,-114.01795559949478,51.04748352797978,1
 Southbound Stoney Trail and 114 Avenue SE ,Traffic incident.,2025-12-27 14:11:50,SE,-113.92082255859124,50.95574223870542,1
 Westbound Stoney Trail and Macleod Trail SW ,Single vehicle incident.  Blocking the right lane,2025-12-27 11:42:06,SW,-114.04226551747227,50.89305808325408,1
 Northbound Crowchild Trail at 32 Avenue NW ,Two vehicle incident. Blocking the right lane,2025-12-27 10:51:06,NW,-114.1239918922452,51.08180090567186,1
 Macleod Trail and 109 Avenue SE ,Traffic signals are flashing red. Signal crew has been dispatched,2025-12-27 09:53:32,SE,-114.07179593535147,50.95553404058583,1
 Macleod Trail and 109 Avenue SE ,Single vehicle incident. Blocking the left lane,2025-12-27 09:53:32,SE,-114.0715156051598,50.95557709425688,1
 Eastbound Glenmore Trail after Macloed Trail SE ,Stalled vehicle. Blocking the right lane,2025-12-27 09:18:30,SE,-114.06734794129297,50.9941664051953,1
 Southbound 19 Street and 22 Avenue NE ,Traffic incident.,2025-12-27 08:48:59,NE,-114.10631101408956,51.07234498810128,1
 Westbound Stoney Trail and Macleod Trail SW ,Single vehicle incident. Blocking the right lane,2025-12-27 08:02:17,SW,-114.04531039155468,50.89324285380136,1
 Eastbound Mcknight Blvd  and 19 Street NE ,Two vehicle incident. Blocking the left lane,2025-12-27 07:54:40,NE,-114.01271634811408,51.09273510093964,1
 Southbound Deerfoot Trail and Stoney Trail NW ,Single vehicle incident. Blocking the right lane,2025-12-27 07:04:00,NW,-113.9761932862406,50.90325657287673,1
 Northbound Barlow Trail and Peigan Trail SE ,Multi-vehicle incident.  Blocking the right lane,2025-12-27 06:17:28,SE,-114.0025303595274,51.01548126495339,1
 Northbound Barlow Trail and Peigan Trail SE ,Multi-vehicle incident. Blocking the left lane,2025-12-27 06:17:28,SE,-114.00239424262467,51.015216968314405,1
 Eastbound Glenmore Trail after Macleod Trail SE ,Two vehicle incident. Blocking the right lane,2025-12-27 04:40:34,SE,-114.06938961519997,50.99420818178308,1
 Southbound Stoney Trail at 16 Avenue NE ,Traffic incident. Blocking the left lane,2025-12-27 03:20:19,NE,-113.92075967284698,51.07179760210576,1
 Southbound Deerfoot Trail at Memorial Drive SE ,Traffic incident. Blocking the left lane,2025-12-27 02:28:22,SE,-114.01795029620322,51.04852184245771,1
 Fairmount Drive and Acadia Drive SE ,Traffic incident.,2025-12-27 01:58:40,SE,-114.0592050463938,50.97225603736625,1
 Westbound Country Hills Boulevard approaching Stonegate Landing NE ,Traffic incident. Partially blocking the WB lane,2025-12-26 23:48:09,NE,-113.99462641686743,51.15444467864421,1
 Eastbound Seton Boulevard at Auburn Bay Li SE ,Traffic incident. Blocking multiple EB lanes,2025-12-26 23:42:38,SE,-113.95333140932156,50.88312706597449,1
 Falconridge Boulevard and Castlebrook Drive NE ,Traffic incident.,2025-12-26 22:55:35,NE,-113.95661404542652,51.10314297329509,1
 68 Street and Applewood Drive SE ,Traffic incident.,2025-12-26 21:40:04,SE,-113.93524796560632,51.04262698712446,1
 Stoney Trail and Deerfoot Trail NE ,Traffic incident. Blocking the EB to NB exit ramp,2025-12-26 21:33:29,NE,-114.00648632716052,51.17464701428497,1
 Eastbound 17 Avenue at 68 Street SE ,Traffic incident. Blocking the right lane,2025-12-26 21:29:49,SE,-113.93550255136718,51.0377676330364,1
 39 Avenue at Barlow Trail NE ,Two vehicle incident. Blocking the WB right lane,2025-12-26 21:15:27,NE,-114.00140269817976,51.08874787975181,1
 29 Street and Sunridge Wy NE ,Traffic incident.,2025-12-26 21:07:31,NE,-113.99184444860776,51.06919495818006,1
 Eastbound Glenmore Trail and Center Street SE ,Traffic incident.  Blocking the right lane,2025-12-26 20:23:34,NW,-114.0642832644672,50.99397449099326,1
 Cranston Avenue and Cranston Road SE ,Traffic incident.,2025-12-26 19:40:36,SE,-113.97907345779748,50.87974502434892,1
 19 Street and Airport Trail NE ,Traffic incident.,2025-12-26 19:19:39,NE,-114.01399054925892,51.13949493061397,1
 Eastbound Stoney Trail and 69 Street SW ,Traffic incident.,2025-12-26 19:18:10,SW,-114.1975568414202,51.01442304727199,1
 Memorial Drive and 28 Street SE ,Traffic incident.,2025-12-26 18:59:12,SE,-113.99086608712324,51.04887076613603,1
 Eastbound Stoney T west of Sarcee Trail NW ,Traffic incident.,2025-12-26 17:08:45,NW,-114.18220636193082,51.15090663751258,1
 Red Embers Gate and Redstone Drive NE ,Traffic incident.,2025-12-26 15:30:50,NE,-113.95789200137315,51.16831197005046,1
 Edmonton Trail and 16 Avenue NE ,Two vehicle incident.,2025-12-26 11:08:16,NE,-114.05618094847593,51.06684603990212,1
 Sunridge Wy and 34 Street NE ,Traffic incident.  Blocking the NB right lane,2025-12-26 01:24:00,NE,-113.9861879848888,51.06871797275748,1
 Old Banff Coach Road and Coach Hill Road SW ,Traffic incident.,2025-12-26 00:30:07,SW,-114.178296214815,51.05661076885957,1
 Northbound 52 Street at McKenzie Towne Boulevard SE ,Traffic incident. Blocking the right lane,2025-12-26 00:18:10,SE,-113.95795605584132,50.91846007312158,1
 University Drive and 16 Avenue NW ,Traffic incident.,2025-12-25 23:27:46,NW,-114.12243751453876,51.06768315451283,1
 Point Drive and Bowness Road NW ,Traffic incident.,2025-12-25 19:00:04,NW,-114.1463789840591,51.06221101041967,1
 Southbound Stoney Trail south of 114 Avenue SE ,Traffic incident. Blocking the left lane,2025-12-25 18:44:59,SE,-113.92036911397416,50.936149907264216,1
 Cornerstone Drive and Cornerstone Wy NE ,Traffic incident.,2025-12-25 16:13:45,NE,-113.9351265165982,51.1506360017257,1
 Macleod Trail and 58 Avenue SW ,Traffic incident. Blocking multiple lanes,2025-12-25 15:01:20,SE,-114.07172854253795,51.00133496764784,1
 Eastbound Beddington ramp to Southbound Trail Deerfoot Trail NE ,Traffic incident.,2025-12-25 12:40:21,NE,-114.0482392029804,51.125367295696336,1
 80 Avenue and Saddletowne Ci NE ,Traffic incident.,2025-12-25 06:49:24,NE,-113.94426023027091,51.12508483305621,1
 Falconridge Boulevard and Falworth Wy NE ,Traffic incident.,2025-12-25 06:05:19,NE,-113.95252355395525,51.10519497789038,1
 Southbound 14 Street and 90 Avenue SW ,Traffic incident. Blocking the right lane,2025-12-25 05:15:16,SW,-114.0951492783716,50.971510135617336,1
 Southbound Crowchild Trail and 17 Avenue SW ,Two vehicle incident. Blocking the right lane,2025-12-25 05:04:31,SW,-114.11358196726208,51.03746953693437,1
 Eastbound 17 Avenue and Sarcee Trail SW ,Traffic incident.,2025-12-25 04:32:04,SW,-114.16414910697046,51.03976512890754,1
 Memorial Drive and 36 Street NE ,Two vehicle incident. Blocking multiple lanes,2025-12-25 02:27:02,NE,-113.9819040200538,51.052247970778,1
 Eastbound Crowchild Trail and Nose Hills Drive NW ,Traffic incident.,2025-12-25 02:17:33,NW,-114.20325444779124,51.119694028219634,1
 Canyon Meadows Drive and Bow Bottom Trail SE ,Traffic incident.,2025-12-25 02:05:55,SE,-114.03301051409343,50.931117008005465,1
 Eastbound 64 Avenue and Deerfoot Trail NE ,Two vehicle incident. Blocking the left lane,2025-12-25 01:27:50,NE,-114.04928695947224,51.11065804091048,1
 Southbound Deerfoot Trail approaching Stoney Trail NE ,Traffic incident.,2025-12-25 00:34:20,NE,-114.01541101850717,51.17616001631488,1
 56 Street and 28 Avenue NE ,Traffic incident.,2025-12-25 00:12:34,NE,-113.9521545125708,51.0768989652079,1
 29 Street and 17 Avenue SW ,Traffic incident.,2025-12-25 00:05:22,SW,-114.12956245939068,51.037811964593615,1
 Memorial Drive and 19 Street SE ,Traffic incident.,2025-12-24 23:55:27,SE,-114.011428479048,51.04719002462974,1
 Country Village Road and Panamount Boulevard NW ,Traffic incident.,2025-12-24 23:53:57,NW,-114.07100406564228,51.16021199135527,1
 Memorial Drive and 28 Street SE ,Traffic incident.,2025-12-24 23:41:50,SE,-113.99179053503964,51.04891803079845,1
 Mission Road and Macleod Trail SW ,Traffic incident.,2025-12-24 23:38:51,SW,-114.0607620369913,51.02146796819952,1
 17 Avenue and 84 Street SE ,Traffic incident.,2025-12-24 23:37:52,SE,-113.9120729868794,51.03784800544077,1
 Bow Bottom Trail and Anderson Road SE ,Traffic incident.,2025-12-24 23:21:08,SE,-114.0263324568235,50.94646203297295,1
 32 Avenue and Deerfoot Trail NE ,Two vehicle incident. Blocking multiple lanes,2025-12-24 22:48:38,NE,-114.038046024028,51.08664602697578,1
 Southbound 36 Street and Memorial Drive NE ,Traffic incident. Blocking multiple lanes,2025-12-24 22:05:53,NE,-113.98168888308837,51.0523795468015,1
 50 Avenue and Barlow Trail SE ,Traffic incident.,2025-12-24 22:00:03,SE,-114.0018930363613,51.00874199544528,1
 Arbour Grove Cl and Crowfoot Ri NW ,Traffic incident.,2025-12-24 21:50:00,NW,-114.20929806145574,51.1266239879721,1
 Glendeer Ci and Heritage Drive SE ,Traffic signals are blank. Blocking multiple lanes,2025-12-24 21:36:37,SE,-114.02953647944824,50.987123996739726,1
 Westbound Stoney Trail and Country Hills Boulevard NW ,Multi-vehicle incident. Blocking the right lane,2025-12-24 20:22:50,NW,-114.198078240993,51.14876486981992,1
 Eastbound Country Hills Boulevard and Freeport Drive NE ,Two vehicle incident. Blocking the right lane,2025-12-24 20:19:32,NE,-114.00730767347883,51.1542067999509,1
 128 Avenue and Barlow Trail NE ,Traffic incident.,2025-12-24 20:07:16,NE,-113.99338346889272,51.16877099579027,1
 90 Avenue and 16 Street SW ,Traffic incident.,2025-12-24 20:05:35,SW,-114.100519497822,50.9723009699683,1
 Southbound Crowchild Trail at Memorial Drive SW ,Traffic incident. Blocking the Exit lane,2025-12-24 20:00:47,SW,-114.11559342284296,51.04888174764456,1
 Eastbound 33 Avenue and 18 Street SW ,Two vehicle incident. Blocking the right lane,2025-12-24 19:55:36,SW,-114.10454248183244,51.02399702041607,1
 Westbound Southland Drive and Deerfoot Trail SW ,Two vehicle incident. Blocking the right lane,2025-12-24 19:50:16,SW,-114.0351374374746,50.96700345717394,1
 Southbound Stoney Trail  after Nose Hill Drive NW ,Traffic incident.,2025-12-24 19:45:48,NW,-114.22764455021591,51.10314302654912,1
 Southbound 4 Street after 13 Avenue SW ,Two vehicle incident. Blocking the right lane,2025-12-24 19:24:46,SW,-114.0714269311479,51.041041175297785,1
 Eastbound 12 Avenue and Centre Street SE ,Traffic incident. Blocking the left lane,2025-12-24 19:16:43,SE,-114.06304960610817,51.04145161173807,1
 Blackfoot Trail and Ogden Road SE ,Traffic incident.,2025-12-24 19:10:47,SE,-114.03190598769967,51.02977453371806,1
 39 Avenue and 19 Street NE ,Traffic incident.,2025-12-24 19:05:18,NE,-114.01159946600932,51.08826600615184,1
 Elbow Drive and Lansdowne Avenue SW ,Traffic incident.,2025-12-24 18:37:57,SW,-114.0786674979086,51.01696797265594,1
 Edgemont Boulevard and Edgemont Drive NW ,Traffic incident.,2025-12-24 18:34:41,NW,-114.15360595592558,51.117012031217335,1
 Northbound 14 Street and Country Hills Boulevard NE ,Traffic incident. Blocking the right lane,2025-12-24 18:26:11,NE,-114.027961255256,51.15462529715346,1
 Westbound Mcknight Blvd  at Falconridge Boulevard NE ,Two vehicle incident.  Blocking the  right Lane,2025-12-24 18:06:22,NE,-113.95760835899183,51.09616961761524,1
 Westbound 64 Avenue and Deerfoot Trail NE ,Two vehicle incident. Blocking the right lane,2025-12-24 17:52:07,NE,-114.04458812424032,51.11067062458565,1
 Shawnessy Boulevard and shawnessy Drive SW ,Traffic incident.,2025-12-24 17:36:00,SW,-114.0827625161286,50.91366600668792,1
 Southbound Deerfoot Trail after 17 Avenue SE ,Two vehicle incident. Blocking the right lane,2025-12-24 17:21:48,SE,-114.01014602121316,51.037056011647046,1
 Northbound Deerfoot Trail after 130 Avenue SE ,Single vehicle incident. Blocking the left lane,2025-12-24 17:17:15,SE,-113.9794290051044,50.93198999457644,1
 Westbound 194 Avenue and Sheriff King Street SE ,Two vehicle incident. Blocking the multiple lanes,2025-12-24 17:08:20,SE,-114.07145397428734,50.87756698467108,1
 1 Street and 6 Avenue SE ,Traffic incident.,2025-12-24 16:19:41,SE,-114.060446953019,51.047379020185815,1
 9 Avenue and 1 Street SE ,Traffic incident. Blocking the right lane EB,2025-12-24 16:12:55,SE,-114.06064947132704,51.04454400303791,1
 18 Avenue and 21 Street NE ,Traffic incident.,2025-12-24 15:21:31,NE,-114.00906604741256,51.06893401029321,1
 Westbound 16 Avenue west of 52 Street NE ,Traffic incident.  Blocking the right lane,2025-12-24 15:11:06,NE,-113.94879637079984,51.06681713076305,1
 Richmond Road and 17 Avenue SW ,Traffic incident.,2025-12-24 13:46:07,SW,-114.11133629812068,51.03706536113479,1
 12 Street and 73 Avenue SE ,Traffic incident.,2025-12-24 13:32:35,SE,-114.03707856512654,50.98820404139161,1
 Eastbound Glenmore Trail east of 18 Street SE ,Traffic incident. Blocking the right lane,2025-12-24 13:16:05,SE,-114.0091932727928,50.97932644455739,1
 James McKevitt Road and Spruce Meadows Gr SW ,Traffic incident. Blocking the NB right lane,2025-12-24 02:50:51,SW,-114.0936182041402,50.89162333556055,1
 17 Avenue at 84 Street SE ,Multi-vehicle incident. Blocking the WB right lane,2025-12-24 02:33:27,NE,-113.9120729868794,51.03784800544077,1
 194 Avenue at Walden Gate SE ,Traffic incident. Blocking the WB right lane,2025-12-24 02:32:07,SE,-114.03670049643974,50.87696403314186,1
 Westbound Glenmore Trail approaching Stoney Trail SE ,Traffic incident. Blocking the WB lanes,2025-12-24 01:30:02,SE,-113.89085928819496,50.97962561732463,1
 Glenmore Trail and Crowchild Trail SW ,Two vehicle incident. Partially blocking the WB on-ramp,2025-12-24 00:29:49,SW,-114.11929403146912,51.00086799124952,1
 Northbound Deerfoot Trail approaching 17 Avenue SE ,Traffic incident. Blocking the right lane,2025-12-24 00:04:53,SE,-114.00106090075236,51.03552108830821,1
 Southbound Deerfoot Trail at Anderson Road SE ,"Ongoing incident, SB Deerfoot Tr closed at Anderson Rd/Bow Bottom Tr exit.",2025-12-23 23:50:41,SE,-114.02965564882916,50.95686980701723,1
 Northbound 8 Street and 7 Avenue SW ,There is an incident involving a pedestrian- EMS on site. Blocking the right lane,2025-12-23 23:47:40,SW,-114.08119643767762,51.04701899457448,1
 Westbound 17 Avenue at Sarcee Trail SW ,Two vehicle incident. Blocking the left lane,2025-12-23 23:36:23,SW,-114.16129959003597,51.0392383414703,1
 96 Avenue and Harvest Hills Boulevard NE ,Traffic incident.,2025-12-23 23:35:28,NE,-114.05487156155172,51.14108699858433,1
 Country Hills Blvd and Deerfoot Trail NE ,Traffic incident.  Blocking the left lane,2025-12-23 22:43:36,NE,-114.02321848012711,51.15118503866226,1
 17 Avenue and Crowchild Trail SW ,Traffic incident.,2025-12-23 21:45:14,SW,-114.11297552135322,51.03821699298524,1
 Southbound Deerfoot Trail and 24 Street SE ,Traffic incident. Blocking multiple lanes,2025-12-23 21:35:43,SE,-114.01571702568177,50.95189796765717,1
 36 Street and Radcliffe Drive SE ,Traffic incident. Blocking multiple lanes in the intersection,2025-12-23 21:14:36,SE,-113.98166060021742,51.04815293317146,1
